# source: Mechanical strip of FinnGen ICD-10-FI patterns → standard ICD-10-CM ancestor → Athena Maps-to SNOMED
# target_vocab: SNOMED (Athena 5.4 snapshot — live vocab.concept, verified 2026-04-17)
# license: Derived work (FinnGen patterns are facts; Athena mappings CC-BY-4.0)
# curator: Phase 13-04 executor (Parthenon GSD agent)
source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason,provenance_tag
D103,0,ICD10_FIN,Benign neoplasm of mouth and pharynx,30356,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D104,0,ICD10_FIN,Benign neoplasm of mouth and pharynx,30356,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D105,0,ICD10_FIN,Benign neoplasm of mouth and pharynx,30356,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D106,0,ICD10_FIN,Benign neoplasm of mouth and pharynx,30356,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D107,0,ICD10_FIN,Benign neoplasm of mouth and pharynx,30356,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D109,0,ICD10_FIN,Benign neoplasm of mouth and pharynx,30356,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D110,0,ICD10_FIN,Benign neoplasm of major salivary glands,30679,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D11[7,0,ICD10_FIN,Benign neoplasm of major salivary glands,30679,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D117,0,ICD10_FIN,Benign neoplasm of major salivary glands,30679,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D120,0,ICD10_FIN,"Benign neoplasm of colon, rectum, anus and anal canal",434303,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D121,0,ICD10_FIN,"Benign neoplasm of colon, rectum, anus and anal canal",434303,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D122,0,ICD10_FIN,"Benign neoplasm of colon, rectum, anus and anal canal",434303,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D123,0,ICD10_FIN,"Benign neoplasm of colon, rectum, anus and anal canal",434303,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D124,0,ICD10_FIN,"Benign neoplasm of colon, rectum, anus and anal canal",434303,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D125,0,ICD10_FIN,"Benign neoplasm of colon, rectum, anus and anal canal",434303,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D126,0,ICD10_FIN,"Benign neoplasm of colon, rectum, anus and anal canal",434303,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D127,0,ICD10_FIN,"Benign neoplasm of colon, rectum, anus and anal canal",434303,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D128,0,ICD10_FIN,"Benign neoplasm of colon, rectum, anus and anal canal",434303,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D129,0,ICD10_FIN,"Benign neoplasm of colon, rectum, anus and anal canal",434303,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D130,0,ICD10_FIN,Benign neoplasm of other and ill-defined parts of digestive system,193431,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D131,0,ICD10_FIN,Benign neoplasm of other and ill-defined parts of digestive system,193431,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D132,0,ICD10_FIN,Benign neoplasm of other and ill-defined parts of digestive system,193431,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D133,0,ICD10_FIN,Benign neoplasm of other and ill-defined parts of digestive system,193431,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D134,0,ICD10_FIN,Benign neoplasm of other and ill-defined parts of digestive system,193431,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D135,0,ICD10_FIN,Benign neoplasm of other and ill-defined parts of digestive system,193431,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D136,0,ICD10_FIN,Benign neoplasm of other and ill-defined parts of digestive system,193431,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D137,0,ICD10_FIN,Benign neoplasm of other and ill-defined parts of digestive system,193431,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D139,0,ICD10_FIN,Benign neoplasm of other and ill-defined parts of digestive system,193431,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
