PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35962355","Leveraging artificial intelligence and data science techniques in harmonizing, sharing, accessing and analyzing SARS-COV-2/COVID-19 data in Rwanda (LAISDAR Project): study design and rationale","Nishimwe A, Ruranga C, Musanabaganwa C, Mugeni R, Semakula M, Nzabanita J, Kabano I, Uwimana A, Utumatwishima JN, Kabakambira JD, Uwineza A, Halvorsen L, Descamps F, Houghtaling J, Burke B, Bahati O, Bizimana C, Jansen S, Twizere C, Nkurikiyeyezu K, Birungi F, Nsanzimana S, Twagirumukiza M.","BMC Med Inform Decis Mak. 2022 Aug 12;22(1):214. doi: 10.1186/s12911-022-01965-9.","Nishimwe A","BMC Med Inform Decis Mak","2022","2022/08/12","PMC9372951","","10.1186/s12911-022-01965-9"
"40791563","Mapping and Harmonization of CVX vaccine terms to the Vaccine Ontology","Pan Y, Manuel W, Abeysinghe R, Zheng J, Davydov A, Yang Q, Lin AY, Cui L, He YO.","bioRxiv [Preprint]. 2025 Jul 18:2025.07.15.664501. doi: 10.1101/2025.07.15.664501.","Pan Y","bioRxiv","2025","2025/08/12","PMC12338626","","10.1101/2025.07.15.664501"
"35780114","Empirical assessment of alternative methods for identifying seasonality in observational healthcare data","Molinaro A, DeFalco F.","BMC Med Res Methodol. 2022 Jul 2;22(1):182. doi: 10.1186/s12874-022-01652-3.","Molinaro A","BMC Med Res Methodol","2022","2022/07/02","PMC9250712","","10.1186/s12874-022-01652-3"
"37724311","Transforming the Information System for Research in Primary Care (SIDIAP) in Catalonia to the OMOP Common Data Model and Its Use for COVID-19 Research","Raventós B, Fernández-Bertolín S, Aragón M, Voss EA, Blacketer C, Méndez-Boo L, Recalde M, Roel E, Pistillo A, Reyes C, van Sandijk S, Halvorsen L, Rijnbeek PR, Burn E, Duarte-Salles T.","Clin Epidemiol. 2023 Sep 13;15:969-986. doi: 10.2147/CLEP.S419481. eCollection 2023.","Raventós B","Clin Epidemiol","2023","2023/09/19","PMC10505380","","10.2147/CLEP.S419481"
"39043402","allofus: an R package to facilitate use of the All of Us Researcher Workbench","Smith LH, Cavanaugh R.","J Am Med Inform Assoc. 2024 Dec 1;31(12):3013-3021. doi: 10.1093/jamia/ocae198.","Smith LH","J Am Med Inform Assoc","2024","2024/07/23","PMC11631081","","10.1093/jamia/ocae198"
"31910437","Development and validation of a prognostic model predicting symptomatic hemorrhagic transformation in acute ischemic stroke at scale in the OHDSI network","Wang Q, Reps JM, Kostka KF, Ryan PB, Zou Y, Voss EA, Rijnbeek PR, Chen R, Rao GA, Morgan Stewart H, Williams AE, Williams RD, Van Zandt M, Falconer T, Fernandez-Chas M, Vashisht R, Pfohl SR, Shah NH, Kasthurirathne SN, You SC, Jiang Q, Reich C, Zhou Y.","PLoS One. 2020 Jan 7;15(1):e0226718. doi: 10.1371/journal.pone.0226718. eCollection 2020.","Wang Q","PLoS One","2020","2020/01/08","PMC6946584","","10.1371/journal.pone.0226718"
"35571357","Trajectories: a framework for detecting temporal clinical event sequences from health data standardized to the Observational Medical Outcomes Partnership (OMOP) Common Data Model","Künnapuu K, Ioannou S, Ligi K, Kolde R, Laur S, Vilo J, Rijnbeek PR, Reisberg S.","JAMIA Open. 2022 Mar 16;5(1):ooac021. doi: 10.1093/jamiaopen/ooac021. eCollection 2022 Apr.","Künnapuu K","JAMIA Open","2022","2022/05/16","PMC9097714","","10.1093/jamiaopen/ooac021"
"30395248","Effect of vocabulary mapping for conditions on phenotype cohorts","Hripcsak G, Levine ME, Shang N, Ryan PB.","J Am Med Inform Assoc. 2018 Dec 1;25(12):1618-1625. doi: 10.1093/jamia/ocy124.","Hripcsak G","J Am Med Inform Assoc","2018","2018/11/06","PMC6289550","","10.1093/jamia/ocy124"
"39949611","Harmonizing population health data into OMOP common data model: a demonstration using COVID-19 sero-surveillance data from Nairobi Urban Health and Demographic Surveillance System","Ochola M, Kiwuwa-Muyingo S, Bhattacharjee T, Amadi D, Ng'etich M, Kadengye D, Owoko H, Igumba B, Greenfield J, Todd J, Kiragga A.","Front Digit Health. 2025 Jan 28;7:1423621. doi: 10.3389/fdgth.2025.1423621. eCollection 2025.","Ochola M","Front Digit Health","2025","2025/02/14","PMC11822943","","10.3389/fdgth.2025.1423621"
"37860059","A computable biomedical knowledge object for calculating in-hospital mortality for patients admitted with acute myocardial infarction","Sadsad R, Ruber G, Zhou J, Nicklin S, Tsafnat G.","Learn Health Syst. 2023 Sep 11;7(4):e10388. doi: 10.1002/lrh2.10388. eCollection 2023 Oct.","Sadsad R","Learn Health Syst","2023","2023/10/20","PMC10582239","","10.1002/lrh2.10388"
"37952118","European Health Data & Evidence Network-learnings from building out a standardized international health data network","Voss EA, Blacketer C, van Sandijk S, Moinat M, Kallfelz M, van Speybroeck M, Prieto-Alhambra D, Schuemie MJ, Rijnbeek PR.","J Am Med Inform Assoc. 2023 Dec 22;31(1):209-219. doi: 10.1093/jamia/ocad214.","Voss EA","J Am Med Inform Assoc","2023","2023/11/12","PMC10746315","","10.1093/jamia/ocad214"
"31445247","Automatic trial eligibility surveillance based on unstructured clinical data","Meystre SM, Heider PM, Kim Y, Aruch DB, Britten CD.","Int J Med Inform. 2019 Sep;129:13-19. doi: 10.1016/j.ijmedinf.2019.05.018. Epub 2019 May 23.","Meystre SM","Int J Med Inform","2019","2019/08/25","PMC6717538","NIHMS1530600","10.1016/j.ijmedinf.2019.05.018"
"41631168","Comorbidities, medication use, and overall survival in eight cancers: a multinational cohort study of 1.7 million patients across Europe","López-Sánchez I, Palomar-Cros A, Claire R, Pérez-Crespo L, Giuliodori A, Koblbauer I, Dietz J, Elvidge J, Koh J, Golozar A, Ramirez-Anguita JM, Leis A, Mayer MA, Symmers N, Vallet M, McLean C, Hall PS, Mosseveld M, Verhamme K, Enerly E, Prinsen P, Evers J, Oja M, Kolde R, Marcos-Gragera R, Fey E, Porkka K, Taveira-Gomes T, Estevinho F, Conde AM, Conde JM, Sanchez CM, Fournier E, Pistillo A, Chen X, Corby G, Robinson A, Sanchez-Santos MT, Delmestri A, Man WY, Català M, Alcalde-Herraiz M, Burn E, Prieto-Alhambra D, Duarte-Salles T, Newby D.","Lancet Reg Health Eur. 2026 Jan 22;63:101585. doi: 10.1016/j.lanepe.2025.101585. eCollection 2026 Apr.","López-Sánchez I","Lancet Reg Health Eur","2026","2026/02/03","PMC12861212","","10.1016/j.lanepe.2025.101585"
"35345821","Unraveling COVID-19: A Large-Scale Characterization of 4.5 Million COVID-19 Cases Using CHARYBDIS","Kostka K, Duarte-Salles T, Prats-Uribe A, Sena AG, Pistillo A, Khalid S, Lai LYH, Golozar A, Alshammari TM, Dawoud DM, Nyberg F, Wilcox AB, Andryc A, Williams A, Ostropolets A, Areia C, Jung CY, Harle CA, Reich CG, Blacketer C, Morales DR, Dorr DA, Burn E, Roel E, Tan EH, Minty E, DeFalco F, de Maeztu G, Lipori G, Alghoul H, Zhu H, Thomas JA, Bian J, Park J, Martínez Roldán J, Posada JD, Banda JM, Horcajada JP, Kohler J, Shah K, Natarajan K, Lynch KE, Liu L, Schilling LM, Recalde M, Spotnitz M, Gong M, Matheny ME, Valveny N, Weiskopf NG, Shah N, Alser O, Casajust P, Park RW, Schuff R, Seager S, DuVall SL, You SC, Song S, Fernández-Bertolín S, Fortin S, Magoc T, Falconer T, Subbian V, Huser V, Ahmed WU, Carter W, Guan Y, Galvan Y, He X, Rijnbeek PR, Hripcsak G, Ryan PB, Suchard MA, Prieto-Alhambra D.","Clin Epidemiol. 2022 Mar 22;14:369-384. doi: 10.2147/CLEP.S323292. eCollection 2022.","Kostka K","Clin Epidemiol","2022","2022/03/29","PMC8957305","","10.2147/CLEP.S323292"
"37603402","Prescribing Patterns of Oral Antibiotics and Isotretinoin for Acne in a Colorado Hospital System: Retrospective Cohort Study","Adelman MJ, Sivesind TE, Weber I, Bosma G, Hochheimer C, Karimkhani C, Schilling LM, Barbieri JS, Dellavalle RP.","JMIR Dermatol. 2023 Aug 21;6:e42883. doi: 10.2196/42883.","Adelman MJ","JMIR Dermatol","2023","2023/08/21","PMC10477922","","10.2196/42883"
"39185338","Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data","Hussein R, Balaur I, Burmann A, Ćwiek-Kupczyńska H, Gadiya Y, Ghosh S, Jayathissa P, Katsch F, Kremer A, Lähteenmäki J, Meng Z, Morasek K, C Rancourt R, Satagopam V, Sauermann S, Scheider S, Stamm T, Muehlendyck C, Gribbon P.","Open Res Eur. 2024 Jul 30;4:160. doi: 10.12688/openreseurope.18179.1. eCollection 2024.","Hussein R","Open Res Eur","2024","2024/08/26","PMC11342032","","10.12688/openreseurope.18179.1"
"41646216","Establishing standards: harmonising coding principles for a minimal cancer dataset in the OMOP Common Data Model","Ajmal A, Bouissou O, Brash J, Cheeseman S, Banduge PG, Gomes AL, Revie L, Ross E, Theophanous S, Thonnard J, Van Maanen A, Vengadeswaran A, Wolf A, Fernandez XM.","ESMO Real World Data Digit Oncol. 2025 Sep 8;9:100179. doi: 10.1016/j.esmorw.2025.100179. eCollection 2025 Sep.","Ajmal A","ESMO Real World Data Digit Oncol","2025","2026/02/06","PMC12836509","","10.1016/j.esmorw.2025.100179"
"37703800","Determining and assessing characteristics of data element names impacting the performance of annotation using Usagi","de Groot R, Püttmann DP, Fleuren LM, Thoral PJ, Elbers PWG, de Keizer NF, Cornet R; Dutch ICU Data Sharing Against COVID-19 Collaborators.","Int J Med Inform. 2023 Oct;178:105200. doi: 10.1016/j.ijmedinf.2023.105200. Epub 2023 Aug 29.","de Groot R","Int J Med Inform","2023","2023/09/13","","","10.1016/j.ijmedinf.2023.105200"
"41300987","Association Between the Use of DPP4 Inhibitors and Metformin and the Risk of Cancer in Patients with Type 2 Diabetes: A Multicenter Retrospective Cohort Study Using the OMOP CDM Database","Kim GL, Yi YH, Lee JG, Tak YJ, Lee SH, Ra YJ, Choi BK, Lee SY, Cho YH, Park EJ, Lee Y, Choi JI, Lee SR, Kwon RJ, Son SM.","Cancers (Basel). 2025 Nov 10;17(22):3620. doi: 10.3390/cancers17223620.","Kim GL","Cancers (Basel)","2025","2025/11/27","PMC12650375","","10.3390/cancers17223620"
